City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
86,Airai,TL,2021-09-22 21:18:46,-8.9266,125.4092,57.11,50,63,3.38
87,Vardo,NO,2021-09-22 21:18:47,70.3705,31.1107,46.6,66,0,25.32
88,Waipawa,NZ,2021-09-22 21:18:47,-41.4122,175.5153,59.04,80,100,8.12
89,Fort-Shevchenko,KZ,2021-09-22 21:18:47,44.5086,50.263,68.49,70,69,6.71
90,Mitsamiouli,KM,2021-09-22 21:18:47,-11.3847,43.2844,76.48,80,0,4.74
91,Kaeo,NZ,2021-09-22 21:18:48,-35.1,173.7833,60.33,97,94,11.81
92,Sorland,NO,2021-09-22 21:18:48,67.667,12.6934,50.07,80,66,33.4
93,Yellowknife,CA,2021-09-22 21:18:48,62.456,-114.3525,50.52,87,90,9.22
94,Moose Factory,CA,2021-09-22 21:18:49,51.2585,-80.6094,51.8,58,75,5.75
95,Iquitos,PE,2021-09-22 21:18:49,-3.7481,-73.2472,87.84,62,75,6.91
96,Berbera,SO,2021-09-22 21:18:49,10.4396,45.0143,90.25,60,85,1.1
97,Hangu,CN,2021-09-22 21:18:50,39.2489,117.7892,68.04,70,100,7.4
98,Vao,NC,2021-09-22 21:18:50,-22.6667,167.4833,67.5,73,74,21.5
99,Ambilobe,MG,2021-09-22 21:18:50,-13.2,49.05,71.08,74,55,4.61
100,Barrow,US,2021-09-22 21:18:50,71.2906,-156.7887,32.02,69,90,17.27
101,Iqaluit,CA,2021-09-22 21:18:51,63.7506,-68.5145,33.53,86,75,8.05
102,Karasjok,NO,2021-09-22 21:17:16,69.4719,25.5112,46.51,87,100,19.51
103,Ayagoz,KZ,2021-09-22 21:18:51,47.9714,80.4392,36.09,60,100,9.48
104,Carnarvon,AU,2021-09-22 21:18:52,-24.8667,113.6333,64.47,94,26,6.91
105,Wajima,JP,2021-09-22 21:18:52,37.4,136.9,72.5,80,0,17.45
106,Cockburn Town,TC,2021-09-22 21:18:53,21.4612,-71.1419,82.8,76,100,12.62
107,Avarua,CK,2021-09-22 21:14:25,-21.2078,-159.775,75.25,73,40,6.91
108,Vaini,TO,2021-09-22 21:18:53,-21.2,-175.2,77.16,83,40,11.5
109,Grand Gaube,MU,2021-09-22 21:18:53,-20.0064,57.6608,71.38,70,30,5.01
110,Lodja,CD,2021-09-22 21:18:54,-3.4833,23.4333,74.73,66,42,1.61
111,Mandalgovi,MN,2021-09-22 21:18:54,45.7625,106.2708,48.36,58,100,15.88
112,Whyalla,AU,2021-09-22 21:18:55,-33.0333,137.5833,44.49,93,0,8.05
