City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
605,Koumac,NC,67.8,few clouds,-20.5667,164.2833,Le Monitel
607,Rio Grande,BR,68.11,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
609,Puerto Colombia,CO,86.09,broken clouds,10.9878,-74.9547,Hotel El Emigrante
610,Nantucket,US,70.09,broken clouds,41.2835,-70.0995,Jared Coffin House
611,Namibe,AO,69.24,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
613,Gazanjyk,TM,79.9,clear sky,39.2446,55.5154,Railway motel
617,Benguela,AO,75.6,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
618,Gigmoto,PH,80.92,overcast clouds,13.7796,124.39,Cj's Travellers Inn
619,Xuddur,SO,85.64,overcast clouds,4.1213,43.8894,Banjanay Hotel
620,Longhua,CN,79.2,light rain,23.6137,114.1919,Huadu Hotel
621,Le Gosier,GP,87.51,broken clouds,16.2069,-61.4933,Hotel Salako
622,Tortoli,IT,82.22,scattered clouds,39.9256,9.6572,Hotel La Bitta
623,Margate,GB,71.96,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
624,Manicore,BR,87.93,overcast clouds,-5.8092,-61.3003,Hotel Durval
627,Ambunti,PG,74.64,broken clouds,-4.2365,142.8448,Ambunti Lodge
628,Urambo,TZ,87.98,overcast clouds,-5.0667,32.05,Fair Lodge
630,Necochea,AR,60.04,clear sky,-38.5473,-58.7368,dyd -mar Hotel
634,Martapura,ID,78.89,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
636,Xiongyue,CN,65.17,overcast clouds,40.1774,122.1228,Samsung Business Hotel
