City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Pervoye Maya,RU,56.164,44.7196,55.11,67,85,3.49,overcast clouds
262,Searcy,US,35.2506,-91.7363,69.03,77,1,0.0,clear sky
263,Maracaju,BR,-21.6144,-55.1683,93.13,27,1,0.69,clear sky
264,Yulara,AU,-25.2406,130.9889,69.64,13,5,8.05,clear sky
265,Kozhva,RU,65.1073,57.0459,43.95,62,99,14.9,overcast clouds
266,Pisco,PE,-13.7,-76.2167,63.01,82,20,8.05,mist
267,Taungdwingyi,MM,20.0167,95.55,78.3,88,100,3.29,overcast clouds
268,Ostersund,SE,63.1792,14.6357,50.61,81,90,12.66,overcast clouds
269,Bucerias,MX,20.75,-105.3333,80.98,86,50,3.74,scattered clouds
270,Fuerte Olimpo,PY,-21.0415,-57.8738,96.55,20,0,4.72,clear sky
271,Balurghat,IN,25.2167,88.7667,85.73,67,3,4.72,clear sky
272,Mandan,US,46.8267,-100.8896,59.97,49,1,1.01,clear sky
273,San Vicente,AR,-26.6167,-54.1333,79.3,24,0,2.21,light rain
274,Bogorodskoye,RU,56.55,37.8833,47.25,94,100,10.4,light rain
275,Sechenovo,RU,55.2244,45.8906,50.67,74,78,4.97,broken clouds
276,Bambous Virieux,MU,-20.3428,57.7575,72.21,78,40,13.8,light rain
277,Tanout,NE,14.9709,8.8879,99.7,9,8,11.52,clear sky
278,Maniwaki,CA,46.3834,-75.966,55.78,88,31,6.91,scattered clouds
279,Kupang,ID,-10.1667,123.5833,78.03,75,57,10.54,broken clouds
280,Kalach-Na-Donu,RU,48.691,43.5264,58.32,84,100,2.82,light rain
281,Yining,CN,29.0361,114.5636,80.64,75,58,2.35,broken clouds
282,Abu Samrah,SY,35.3029,37.1841,78.4,23,0,2.66,clear sky
283,Columbus,US,39.9612,-82.9988,63.28,80,75,1.01,broken clouds
284,Saint George,US,37.1041,-113.5841,69.53,27,1,3.44,clear sky
285,Jacareacanga,BR,-6.2222,-57.7528,77.74,83,96,2.48,overcast clouds
286,Codrington,AU,-38.2667,141.9667,46.6,64,76,4.25,broken clouds
287,Luderitz,NA,-26.6481,15.1594,67.96,54,35,23.94,scattered clouds
288,Peace River,CA,56.2501,-117.286,52.11,79,40,4.0,scattered clouds
289,Tieling,CN,42.2931,123.8414,61.56,92,100,3.11,overcast clouds
290,Hohhot,CN,40.8106,111.6522,61.09,72,0,4.47,clear sky
291,Pringsewu,ID,-5.3582,104.9744,74.93,94,27,2.73,scattered clouds
292,Kudahuvadhoo,MV,2.6708,72.8944,82.45,79,99,16.37,overcast clouds
293,Benjamin Hill,MX,30.1667,-111.1,70.18,51,99,1.28,overcast clouds
294,Pacific Grove,US,36.6177,-121.9166,63.16,94,90,1.01,overcast clouds
295,Madingou,CG,-4.1536,13.55,86.34,53,100,5.59,light rain
296,Kamenka,RU,51.3223,42.7678,51.6,70,88,3.78,overcast clouds
297,Eyl,SO,7.9803,49.8164,82.24,67,90,16.06,overcast clouds
298,Taoudenni,ML,22.6783,-3.9836,110.75,6,83,12.8,broken clouds
299,Rockport,US,28.0206,-97.0544,81.03,75,1,3.0,clear sky
300,Lompoc,US,34.6391,-120.4579,56.88,100,90,0.0,fog
301,Chilca,PE,-12.5211,-76.7372,63.84,80,99,7.14,overcast clouds
302,Benito Juarez,MX,19.385,-99.165,61.0,76,75,4.0,haze
303,Belyy Yar,RU,53.6039,91.3903,40.89,56,0,6.71,clear sky
304,Saint-Ambroise,CA,48.5501,-71.3324,61.29,66,26,3.58,scattered clouds
305,San Luis,AR,-33.295,-66.3356,76.24,23,0,15.08,clear sky
306,Koutsouras,GR,35.0339,25.9469,81.1,45,0,5.66,clear sky
307,Purpe,RU,64.4803,76.6897,33.49,77,8,7.45,clear sky
308,Rengo,CL,-34.4167,-70.8667,56.23,66,72,3.6,broken clouds
309,Maues,BR,-3.3836,-57.7186,97.14,36,61,3.71,broken clouds
310,Hanzhong,CN,33.0728,107.0303,69.49,94,100,4.03,overcast clouds
311,Winchester,GB,51.0651,-1.3187,67.68,83,75,4.61,broken clouds
312,Labuhan,ID,-6.8844,112.2051,80.67,77,46,6.35,light rain
313,Meghri,AM,38.9029,46.2446,67.78,53,0,4.81,clear sky
314,Sena Madureira,BR,-9.0656,-68.6569,96.3,35,37,1.36,scattered clouds
315,Upernavik,GL,72.7868,-56.1549,23.05,68,5,5.17,clear sky
316,Ekibastuz,KZ,51.6667,75.3667,49.46,40,58,7.61,broken clouds
317,Campbell River,CA,50.0163,-125.2446,50.72,100,75,0.0,broken clouds
318,Goderich,CA,43.7501,-81.7165,62.04,77,100,12.66,overcast clouds
319,Girua,BR,-28.0283,-54.3497,69.6,55,0,5.57,clear sky
320,Flinders,AU,-34.5833,150.8552,55.18,75,100,5.01,overcast clouds
321,Hudson Bay,CA,52.85,-102.3842,56.28,40,100,2.86,overcast clouds
322,Lagoa,PT,39.05,-27.9833,70.61,86,100,11.05,overcast clouds
323,Mareeba,AU,-17.0,145.4333,67.48,94,55,2.33,broken clouds
324,Igualada,ES,41.581,1.6172,84.97,65,10,5.99,clear sky
325,Puerto Penasco,MX,31.3167,-113.5333,82.27,63,88,0.85,overcast clouds
326,Moroni,KM,-11.7022,43.2551,82.4,69,40,5.75,scattered clouds
327,Westport,US,41.1415,-73.3579,72.9,64,1,1.99,clear sky
328,Khonsa,IN,27.0167,95.5667,68.02,94,2,5.46,clear sky
329,Lumeje,AO,-11.55,20.7833,93.65,8,5,8.7,clear sky
330,Adelaide,AU,-34.9333,138.6,50.41,67,20,5.99,few clouds
331,Hofn,IS,64.2539,-15.2082,41.25,61,100,17.11,moderate rain
332,Sao Filipe,CV,14.8961,-24.4956,78.8,75,49,6.98,scattered clouds
333,Bridlington,GB,54.0831,-0.1919,69.89,77,100,8.57,overcast clouds
334,Maceio,BR,-9.6658,-35.7353,85.44,70,75,16.11,broken clouds
335,Gravdal,NO,68.1214,13.5031,48.13,79,89,13.96,overcast clouds
336,Vestmannaeyjar,IS,63.4427,-20.2734,41.99,81,90,26.46,overcast clouds
337,Karratha,AU,-20.7377,116.8463,73.27,61,0,17.6,clear sky
338,Del Rio,US,29.3627,-100.8968,71.71,64,1,6.91,clear sky
339,Jalu,LY,29.0331,21.5482,83.71,27,0,11.23,clear sky
340,Vernon,CA,50.2581,-119.2691,57.13,81,86,8.05,overcast clouds
341,Dauriya,RU,49.9333,116.8667,57.92,76,98,15.23,overcast clouds
342,West Odessa,US,31.8424,-102.4988,69.84,47,1,9.22,clear sky
343,Leningradskiy,RU,69.3833,178.4167,19.62,75,100,7.45,overcast clouds
344,Simav,TR,39.0882,28.9777,71.46,31,0,8.01,clear sky
345,Semporna,MY,4.4818,118.6112,77.2,82,100,2.19,overcast clouds
346,Khandyga,RU,62.6667,135.6,38.7,94,100,3.74,light rain
347,Esperance,AU,-33.8667,121.9,53.44,77,100,21.88,overcast clouds
348,Weston-Super-Mare,GB,51.346,-2.9766,70.66,83,75,4.61,broken clouds
